Rosseland opacity table for the element mix X=0.70, Y=0.28 and Z=0.20
based on Seaton et al. (1994),  Alexander & Ferguson (1994) ApJ, 437, 879, 
and Henning & Stognienko R. (1996), A&A 311, 291 in OP-format (log T vs log R)
000024 000141 --- number of points in log R and log T
3.350 +0.000 -4.796 -4.896 -4.971 -5.004 -4.974 -4.832 -4.479 -3.881 -3.174 -2.529 -2.055 -1.802 -1.698 -1.658 -1.641 -1.631 -1.623 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.400 +0.000 -4.387 -4.460 -4.550 -4.650 -4.745 -4.812 -4.818 -4.688 -4.319 -3.700 -2.990 -2.351 -1.885 -1.625 -1.507 -1.454 -1.428 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.450 +0.000 -4.203 -4.207 -4.231 -4.274 -4.333 -4.404 -4.469 -4.503 -4.465 -4.279 -3.870 -3.270 -2.608 -2.014 -1.596 -1.363 -1.245 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.500 -4.162 -4.182 -4.169 -4.147 -4.121 -4.102 -4.094 -4.086 -4.059 -3.996 -3.883 -3.695 -3.413 -3.019 -2.521 -1.979 -1.498 -1.169 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.550 -3.808 -3.939 -4.032 -4.085 -4.100 -4.083 -4.036 -3.953 -3.828 -3.652 -3.431 -3.177 -2.905 -2.626 -2.338 -2.037 -1.729 -1.432 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.600 -3.103 -3.297 -3.478 -3.641 -3.782 -3.889 -3.940 -3.916 -3.792 -3.557 -3.234 -2.867 -2.498 -2.147 -1.824 -1.518 -1.223 -0.935 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.650 -2.298 -2.523 -2.743 -2.952 -3.147 -3.323 -3.466 -3.547 -3.533 -3.391 -3.118 -2.740 -2.313 -1.882 -1.477 -1.106 -0.766 -0.453 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.700 -1.539 -1.767 -1.998 -2.225 -2.443 -2.644 -2.813 -2.921 -2.933 -2.839 -2.651 -2.392 -2.072 -1.694 -1.277 -0.855 -0.453 -0.082 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.750 -0.923 -1.113 -1.322 -1.537 -1.750 -1.950 -2.118 -2.225 -2.238 -2.147 -1.982 -1.766 -1.520 -1.248 -0.945 -0.601 -0.217 +0.180 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.800 -0.593 -0.669 -0.788 -0.939 -1.103 -1.265 -1.401 -1.484 -1.490 -1.414 -1.269 -1.082 -0.873 -0.645 -0.401 -0.134 +0.162 +0.493 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.850 -0.526 -0.521 -0.521 -0.537 -0.581 -0.642 -0.699 -0.729 -0.715 -0.651 -0.540 -0.393 -0.219 -0.027 +0.184 +0.413 +0.663 +0.930 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.900 -0.523 -0.506 -0.467 -0.401 -0.308 -0.206 -0.112 -0.036 +0.035 +0.110 +0.199 +0.308 +0.439 +0.592 +0.766 +0.961 +1.179 +1.419 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.950 -0.528 -0.513 -0.471 -0.389 -0.248 -0.040 +0.214 +0.458 +0.650 +0.786 +0.894 +0.991 +1.093 +1.208 +1.344 +1.501 +1.684 +1.889 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
4.000 -0.522 -0.516 -0.485 -0.410 -0.266 -0.030 +0.292 +0.660 +0.999 +1.261 +1.444 +1.574 +1.679 +1.779 +1.886 +2.012 +2.158 +2.327 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
4.050 -0.493 -0.491 -0.474 -0.418 -0.291 -0.066 +0.264 +0.670 +1.094 +1.479 +1.783 +1.995 +2.146 +2.262 +2.366 +2.473 +2.594 +2.730 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
4.100 -0.476 -0.470 -0.453 -0.404 -0.294 -0.095 +0.209 +0.605 +1.054 +1.507 +1.907 +2.220 +2.446 +2.612 +2.747 +2.865 +2.974 +3.089 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
4.150 -0.463 -0.451 -0.428 -0.381 -0.282 -0.103 +0.172 +0.538 +0.971 +1.440 +1.905 +2.320 +2.643 +2.878 +3.049 +3.185 +3.299 +3.406 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
4.200 -0.459 -0.441 -0.414 -0.363 -0.268 -0.101 +0.156 +0.499 +0.910 +1.367 +1.846 +2.318 +2.733 +3.054 +3.284 +3.457 +3.593 +3.704 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
